onet_major_x,onet_major_y,source,target,value
19,49,"Life, Physical, and Social Science","Installation, Maintenance, and Repair",19
19,51,"Life, Physical, and Social Science",Production,89
19,53,"Life, Physical, and Social Science",Transportation and Material Moving,20
21,11,Community and Social Service,Management,1358
21,13,Community and Social Service,Business and Financial Operations,487
21,15,Community and Social Service,Computer and Mathematical,102
21,17,Community and Social Service,Architecture and Engineering,19
21,19,Community and Social Service,"Life, Physical, and Social Science",168
21,21,Community and Social Service,Community and Social Service,2664
21,23,Community and Social Service,Legal,86
21,25,Community and Social Service,Educational Instruction and Library,353
21,27,Community and Social Service,"Arts, Design, Entertainment, Sports, and Media",138
21,29,Community and Social Service,Healthcare Practitioners and Technical,192
21,31,Community and Social Service,Healthcare Support,29
21,33,Community and Social Service,Protective Service,20
21,35,Community and Social Service,Food Preparation and Serving Related,14
21,37,Community and Social Service,Building and Grounds Cleaning and Maintenance,5
21,39,Community and Social Service,Personal Care and Service,47
21,41,Community and Social Service,Sales and Related,210
21,43,Community and Social Service,Office and Administrative Support,272
21,45,Community and Social Service,"Farming, Fishing, and Forestry",2
21,47,Community and Social Service,Construction and Extraction,4
21,49,Community and Social Service,"Installation, Maintenance, and Repair",6
21,51,Community and Social Service,Production,13
21,53,Community and Social Service,Transportation and Material Moving,9
23,11,Legal,Management,403
23,13,Legal,Business and Financial Operations,221
23,15,Legal,Computer and Mathematical,35
23,17,Legal,Architecture and Engineering,11
23,19,Legal,"Life, Physical, and Social Science",29
23,21,Legal,Community and Social Service,28
23,23,Legal,Legal,3804
23,25,Legal,Educational Instruction and Library,56
23,27,Legal,"Arts, Design, Entertainment, Sports, and Media",55
23,29,Legal,Healthcare Practitioners and Technical,15
23,31,Legal,Healthcare Support,2
23,33,Legal,Protective Service,9
23,35,Legal,Food Preparation and Serving Related,3
23,37,Legal,Building and Grounds Cleaning and Maintenance,1
23,39,Legal,Personal Care and Service,3
23,41,Legal,Sales and Related,65
23,43,Legal,Office and Administrative Support,97
23,49,Legal,"Installation, Maintenance, and Repair",2
23,51,Legal,Production,2
23,53,Legal,Transportation and Material Moving,2
25,11,Educational Instruction and Library,Management,2310
25,13,Educational Instruction and Library,Business and Financial Operations,1190
25,15,Educational Instruction and Library,Computer and Mathematical,959
25,17,Educational Instruction and Library,Architecture and Engineering,585
25,19,Educational Instruction and Library,"Life, Physical, and Social Science",1060
25,21,Educational Instruction and Library,Community and Social Service,512
25,23,Educational Instruction and Library,Legal,221
25,25,Educational Instruction and Library,Educational Instruction and Library,7850
25,27,Educational Instruction and Library,"Arts, Design, Entertainment, Sports, and Media",642
25,29,Educational Instruction and Library,Healthcare Practitioners and Technical,378
25,31,Educational Instruction and Library,Healthcare Support,42
25,33,Educational Instruction and Library,Protective Service,31
25,35,Educational Instruction and Library,Food Preparation and Serving Related,34
25,37,Educational Instruction and Library,Building and Grounds Cleaning and Maintenance,11
25,39,Educational Instruction and Library,Personal Care and Service,117
